#{"t_start": 1707951265.1999075, "env_id": "None"}
r,l,t
-43.00967,490,1036.255932
-43.00967,490,1036.255943
-43.00967,490,1036.255954
-43.00967,490,1036.255965
-43.00967,490,1036.255978
-43.00967,490,1036.255989
-43.00967,490,1036.256
-43.00967,490,1036.256012
-43.00967,490,1036.256023
-43.00967,490,1036.256034
-43.00967,490,1036.256045
-43.00967,490,1036.256056
-43.00967,490,1036.256073
-43.00967,490,1036.256085
-43.00967,490,1036.256096
-43.00967,490,1036.256106
-43.00967,490,1036.256117
-43.00967,490,1036.256128
-43.00967,490,1036.256139
-43.00967,490,1036.25615
-43.00967,490,1036.256162
-43.00967,490,1036.256172
-43.00967,490,1036.256183
-43.00967,490,1036.256193
-43.00967,490,1036.256204
-43.00967,490,1036.256216
-43.00967,490,1036.256228
-43.00967,490,1036.256239
-43.00967,490,1036.25625
-43.00967,490,1036.256261
-43.00967,490,1036.256272
-43.00967,490,1036.256285
-43.00967,490,1036.256297
-43.00967,490,1036.25631
-43.00967,490,1036.25632
-43.00967,490,1036.256331
-43.00967,490,1036.256341
-43.00967,490,1036.256352
-43.00967,490,1036.256363
-43.00967,490,1036.256374
-43.00967,490,1036.256385
-43.00967,490,1036.256396
-43.00967,490,1036.256407
-43.00967,490,1036.256417
-43.00967,490,1036.256428
-43.00967,490,1036.256438
-43.00967,490,1036.25645
-43.00967,490,1036.256461
-43.00967,490,1036.256473
-43.00967,490,1036.256484
-43.00967,490,1036.256494
-43.00967,490,1036.256505
-43.00967,490,1036.256516
-43.00967,490,1036.256528
-43.00967,490,1183.943681
-43.00967,490,1183.943774
-43.00967,490,1183.94379
-43.00967,490,1183.943803
-43.00967,490,1183.943814
-43.00967,490,1183.943826
-43.00967,490,1183.943836
-43.00967,490,1183.943847
-43.00967,490,1183.943858
-43.00967,490,1183.943869
-43.00967,490,1183.943879
-43.00967,490,1183.94389
-43.00967,490,1183.943901
-43.00967,490,1183.943912
-43.00967,490,1183.943923
-43.00967,490,1183.943933
-43.00967,490,1183.943944
-43.00967,490,1183.943955
-43.00967,490,1183.943966
-43.00967,490,1183.943976
-43.00967,490,1183.944005
-43.00967,490,1183.944018
